secret,success,attempts,policy,use_hints
placá,True,5,RAND,True
paval,True,9,RAND,True
ichão,True,2,RAND,True
iataí,True,9,RAND,True
corar,True,7,RAND,True
ladro,True,7,RAND,True
bantá,True,7,RAND,True
iandu,True,5,RAND,True
ramno,True,6,RAND,True
cervo,True,4,RAND,True
robôs,True,6,RAND,True
pseca,True,4,RAND,True
matéu,True,4,RAND,True
elite,True,4,RAND,True
saivá,True,6,RAND,True
alipo,True,4,RAND,True
gomor,True,5,RAND,True
cofap,True,5,RAND,True
uiqué,True,6,RAND,True
pedra,True,6,RAND,True
trave,True,5,RAND,True
écano,True,6,RAND,True
joçal,True,7,RAND,True
ícaro,True,5,RAND,True
vioco,True,5,RAND,True
sorbo,True,4,RAND,True
papai,True,4,RAND,True
tonar,True,3,RAND,True
ambom,True,5,RAND,True
piaçó,True,5,RAND,True
micar,True,7,RAND,True
torta,True,8,RAND,True
uanda,True,6,RAND,True
bomba,True,6,RAND,True
cucos,True,5,RAND,True
varge,True,6,RAND,True
pecém,True,5,RAND,True
mulum,True,4,RAND,True
audio,True,5,RAND,True
bécua,True,3,RAND,True
mucia,True,5,RAND,True
omalá,True,4,RAND,True
vidro,True,8,RAND,True
namau,True,4,RAND,True
fulos,True,5,RAND,True
noise,True,3,RAND,True
sacas,True,8,RAND,True
junça,True,5,RAND,True
cimbó,True,6,RAND,True
acusa,True,4,RAND,True
juana,True,6,RAND,True
lailo,True,6,RAND,True
árgon,True,4,RAND,True
rufes,True,4,RAND,True
mandé,True,7,RAND,True
sujas,True,4,RAND,True
nadim,True,4,RAND,True
ábare,True,4,RAND,True
fífia,True,3,RAND,True
ázigo,True,4,RAND,True
doçar,True,6,RAND,True
fento,True,4,RAND,True
dieco,True,6,RAND,True
mingo,True,4,RAND,True
tenda,True,5,RAND,True
scone,True,6,RAND,True
cutia,True,5,RAND,True
aônio,True,3,RAND,True
tífia,True,2,RAND,True
ursos,True,4,RAND,True
curuá,True,5,RAND,True
revel,True,5,RAND,True
tolpe,True,7,RAND,True
nosso,True,6,RAND,True
mimar,True,9,RAND,True
mileu,True,5,RAND,True
soala,True,5,RAND,True
leteu,True,2,RAND,True
lemos,True,3,RAND,True
saíta,True,6,RAND,True
curre,True,4,RAND,True
zuavo,True,6,RAND,True
eruru,True,4,RAND,True
lorçá,True,5,RAND,True
saibo,True,3,RAND,True
nadal,True,6,RAND,True
bonge,True,6,RAND,True
melga,True,3,RAND,True
crete,True,5,RAND,True
lácio,True,5,RAND,True
trudo,True,6,RAND,True
cuaco,True,8,RAND,True
merué,True,4,RAND,True
rígio,True,7,RAND,True
dicar,True,4,RAND,True
amado,True,5,RAND,True
fiapo,True,4,RAND,True
tugir,True,7,RAND,True
adsir,True,3,RAND,True
aqueu,True,4,RAND,True
pávia,True,7,RAND,True
verão,True,7,RAND,True
turdo,True,3,RAND,True
avano,True,7,RAND,True
argau,True,4,RAND,True
vedro,True,3,RAND,True
bonzo,True,5,RAND,True
foito,True,4,RAND,True
tiraz,True,3,RAND,True
cobra,True,4,RAND,True
róseo,True,6,RAND,True
coxão,True,4,RAND,True
áscon,True,4,RAND,True
látex,True,3,RAND,True
trere,True,5,RAND,True
afear,True,5,RAND,True
acaru,True,3,RAND,True
natal,True,4,RAND,True
tarim,True,3,RAND,True
tócia,True,7,RAND,True
plano,True,5,RAND,True
magna,True,5,RAND,True
moacã,True,4,RAND,True
série,True,5,RAND,True
boçar,False,10,RAND,True
censo,True,6,RAND,True
buque,True,4,RAND,True
enino,True,3,RAND,True
luxaz,True,6,RAND,True
nássi,True,5,RAND,True
ondas,True,4,RAND,True
xenos,True,5,RAND,True
ábaco,True,7,RAND,True
tarpa,True,4,RAND,True
édito,True,8,RAND,True
ladão,True,6,RAND,True
tedéu,True,5,RAND,True
pipra,True,5,RAND,True
beiçó,True,5,RAND,True
meruí,True,6,RAND,True
sagus,True,7,RAND,True
doble,True,4,RAND,True
agrar,True,5,RAND,True
musto,True,4,RAND,True
pruno,True,3,RAND,True
tenor,True,3,RAND,True
cafés,True,7,RAND,True
tearo,True,3,RAND,True
miRNA,True,5,RAND,True
sedar,True,9,RAND,True
tocho,True,5,RAND,True
acuar,True,6,RAND,True
árico,True,4,RAND,True
arilo,True,5,RAND,True
jecas,True,6,RAND,True
bodar,True,8,RAND,True
jambo,True,3,RAND,True
tumba,True,6,RAND,True
rúbio,True,6,RAND,True
ácino,True,5,RAND,True
torce,True,4,RAND,True
arimã,True,5,RAND,True
clado,True,6,RAND,True
soala,True,3,RAND,True
foxim,True,6,RAND,True
ponte,True,6,RAND,True
porém,True,6,RAND,True
tafal,True,7,RAND,True
guaió,True,5,RAND,True
telim,True,5,RAND,True
iúcea,True,4,RAND,True
uládi,True,5,RAND,True
nísia,True,7,RAND,True
vaila,True,7,RAND,True
bacia,True,4,RAND,True
atrás,True,4,RAND,True
brete,True,3,RAND,True
tique,True,5,RAND,True
sebes,True,5,RAND,True
falci,True,5,RAND,True
xeque,True,6,RAND,True
tatás,True,5,RAND,True
cifar,True,5,RAND,True
manar,True,4,RAND,True
crete,True,5,RAND,True
lixas,True,3,RAND,True
mídia,True,4,RAND,True
actol,True,4,RAND,True
vinal,True,5,RAND,True
conja,True,4,RAND,True
ranal,True,3,RAND,True
porca,True,5,RAND,True
fasma,True,6,RAND,True
axino,True,4,RAND,True
goita,True,3,RAND,True
bloco,True,6,RAND,True
lavor,True,3,RAND,True
mabiú,True,6,RAND,True
azeda,True,6,RAND,True
charo,True,5,RAND,True
aravo,True,5,RAND,True
antal,True,6,RAND,True
rarar,True,7,RAND,True
manta,True,3,RAND,True
pelve,True,6,RAND,True
únsia,True,6,RAND,True
daime,True,4,RAND,True
carro,True,7,RAND,True
canjo,True,6,RAND,True
pongó,True,5,RAND,True
naifo,True,4,RAND,True
senas,True,4,RAND,True
pomos,True,5,RAND,True
nobel,True,5,RAND,True
apejá,True,4,RAND,True
trobo,True,3,RAND,True
obras,True,4,RAND,True
teste,True,5,RAND,True
canga,True,5,RAND,True
tenar,True,5,RAND,True
ionte,True,6,RAND,True
uanhi,True,5,RAND,True
alhos,True,5,RAND,True
sagui,True,4,RAND,True
rapiá,True,4,RAND,True
balça,True,7,RAND,True
balio,True,5,RAND,True
foeta,True,5,RAND,True
tantã,True,6,RAND,True
dimba,True,5,RAND,True
texas,True,8,RAND,True
cúmel,True,3,RAND,True
gígis,True,4,RAND,True
acuti,True,5,RAND,True
macla,True,4,RAND,True
touro,True,4,RAND,True
fulha,True,8,RAND,True
pagou,True,4,RAND,True
rosão,True,4,RAND,True
édico,True,5,RAND,True
laico,True,5,RAND,True
torno,True,4,RAND,True
forte,True,6,RAND,True
maiua,True,4,RAND,True
mogno,True,4,RAND,True
saruê,True,6,RAND,True
papel,True,6,RAND,True
versa,True,6,RAND,True
tarar,True,8,RAND,True
ilhal,True,3,RAND,True
misná,True,5,RAND,True
úmero,True,8,RAND,True
abavi,True,6,RAND,True
bânua,True,4,RAND,True
solau,True,3,RAND,True
divão,True,5,RAND,True
mafua,True,2,RAND,True
dassa,True,4,RAND,True
nogal,True,4,RAND,True
ubari,True,5,RAND,True
urucu,True,4,RAND,True
bermã,True,6,RAND,True
pilra,True,6,RAND,True
násio,True,7,RAND,True
bembé,True,4,RAND,True
guirá,True,4,RAND,True
nhato,True,5,RAND,True
pigro,True,3,RAND,True
gumbo,True,9,RAND,True
levez,True,4,RAND,True
nóbis,True,4,RAND,True
vumbe,True,5,RAND,True
dungô,True,3,RAND,True
pouca,True,4,RAND,True
cubiú,True,3,RAND,True
burnu,True,4,RAND,True
rambo,True,4,RAND,True
puaia,True,5,RAND,True
uaimá,True,5,RAND,True
botas,True,6,RAND,True
lenga,True,6,RAND,True
animi,True,4,RAND,True
armio,True,3,RAND,True
empós,True,3,RAND,True
duíta,True,4,RAND,True
mijuí,True,4,RAND,True
ebome,True,3,RAND,True
chipo,True,3,RAND,True
anacá,True,5,RAND,True
quimé,True,6,RAND,True
ábaco,True,5,RAND,True
urros,True,5,RAND,True
morbo,True,6,RAND,True
khmer,True,4,RAND,True
dunha,True,5,RAND,True
vírus,True,5,RAND,True
penas,True,6,RAND,True
simbo,True,7,RAND,True
lágis,True,5,RAND,True
xífio,True,6,RAND,True
omaso,True,4,RAND,True
udora,True,4,RAND,True
lavra,True,3,RAND,True
nylon,True,5,RAND,True
igupá,True,2,RAND,True
candó,True,6,RAND,True
málus,True,4,RAND,True
ácnea,True,4,RAND,True
feião,True,4,RAND,True
orete,True,6,RAND,True
caitó,True,4,RAND,True
jácea,True,4,RAND,True
rubra,True,4,RAND,True
porós,True,4,RAND,True
tésis,True,4,RAND,True
debar,True,6,RAND,True
chena,True,6,RAND,True
carne,True,4,RAND,True
leila,True,4,RAND,True
ameno,True,4,RAND,True
crudo,True,7,RAND,True
calom,True,4,RAND,True
azavá,True,3,RAND,True
jacas,True,2,RAND,True
jiqui,True,4,RAND,True
ébeno,True,4,RAND,True
piaca,True,5,RAND,True
tilim,True,4,RAND,True
azedo,True,5,RAND,True
agave,True,5,RAND,True
fídia,True,7,RAND,True
puliz,True,4,RAND,True
tíner,True,7,RAND,True
bizer,True,3,RAND,True
piúca,True,6,RAND,True
rumes,True,3,RAND,True
xotar,True,8,RAND,True
assar,True,3,RAND,True
calfe,True,5,RAND,True
sério,True,7,RAND,True
zaida,True,6,RAND,True
gelar,True,4,RAND,True
madim,True,4,RAND,True
anual,True,5,RAND,True
buete,True,4,RAND,True
burué,True,3,RAND,True
imame,True,4,RAND,True
nábão,True,5,RAND,True
lenca,True,5,RAND,True
maçom,True,5,RAND,True
vaira,True,5,RAND,True
soque,True,4,RAND,True
grebo,True,4,RAND,True
zepto,True,4,RAND,True
pacas,True,4,RAND,True
mécum,True,5,RAND,True
mulua,True,5,RAND,True
mádia,True,6,RAND,True
bagre,True,4,RAND,True
barca,True,2,RAND,True
moxar,True,6,RAND,True
vogul,True,4,RAND,True
benim,True,6,RAND,True
arcar,True,4,RAND,True
galas,True,8,RAND,True
couce,True,5,RAND,True
tiras,True,4,RAND,True
taguá,True,6,RAND,True
meniã,True,5,RAND,True
algaz,True,4,RAND,True
dabua,True,4,RAND,True
tapto,True,6,RAND,True
ameia,True,3,RAND,True
grebe,True,5,RAND,True
bilva,True,5,RAND,True
canzo,True,7,RAND,True
velos,True,6,RAND,True
jorim,True,4,RAND,True
angor,True,4,RAND,True
ibira,True,6,RAND,True
múcua,True,5,RAND,True
trero,True,4,RAND,True
faval,True,5,RAND,True
gneto,True,4,RAND,True
prima,True,5,RAND,True
uanda,True,5,RAND,True
bruto,True,4,RAND,True
fisio,True,5,RAND,True
harlo,True,8,RAND,True
cocoa,True,5,RAND,True
oriza,True,4,RAND,True
lisim,True,4,RAND,True
bafar,True,4,RAND,True
cangu,True,4,RAND,True
húmus,True,5,RAND,True
dólmã,True,3,RAND,True
rondó,True,6,RAND,True
rumpi,True,4,RAND,True
argas,True,4,RAND,True
nírex,True,5,RAND,True
pagel,True,5,RAND,True
pueri,True,3,RAND,True
coeso,True,4,RAND,True
díxis,True,5,RAND,True
vovós,True,6,RAND,True
sujão,True,9,RAND,True
alear,True,6,RAND,True
orlon,True,5,RAND,True
pádoa,True,3,RAND,True
nísio,True,6,RAND,True
nepal,True,5,RAND,True
ingás,True,3,RAND,True
enchó,True,6,RAND,True
rígio,True,7,RAND,True
gueto,True,5,RAND,True
coger,True,5,RAND,True
moção,True,7,RAND,True
saída,True,6,RAND,True
pichi,True,4,RAND,True
xaile,True,5,RAND,True
quelé,True,7,RAND,True
ausco,True,5,RAND,True
gamar,True,5,RAND,True
lacno,True,5,RAND,True
piraú,True,5,RAND,True
eimar,True,6,RAND,True
limpa,True,5,RAND,True
quido,True,7,RAND,True
druso,True,4,RAND,True
síndi,True,4,RAND,True
lacol,True,4,RAND,True
