init_guess,trials_run,pct_solved,avg_steps,median_steps,max_steps,hardest_target,hardest_path_compact,worst_bucket_size_initial
escravidao,10000,100.00,2.009,2,6,bato,escravidao → . . . . 1 . . . . B2 (|S|=10000) | argumentos → 1 . . . . . . 2 2 . (|S|=50) | fato → . 1 1 B1 (|S|=6) | pato → . 1 1 B1 (|S|=5) | jato → . 1 1 B1 (|S|=3) | bato → B1 1 1 B1 (|S|=2) | bato → B1 1 1 B1 (|S|=1),80
centuriao,10000,100.00,2.055,2,6,jato,centuriao → . . . Y . . . 1 B2 (|S|=10000) | astrologia → 1 . 2 . 3 . . . . . (|S|=21) | fato → . 1 1 B1 (|S|=5) | mato → . 1 1 B1 (|S|=4) | pato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),77
supremacia,10000,100.00,1.974,2,5,gelo,supremacia → . . . . 1 . . . . . (|S|=10000) | eletronico → 1 1 . . . . . . . B2 (|S|=88) | velho → . 1 1 . B2 (|S|=5) | belo → . 1 1 B1 (|S|=4) | gelo → B1 1 1 B1 (|S|=2) | gelo → B1 1 1 B1 (|S|=1),88
parentesco,10000,100.00,2.003,2,6,jato,parentesco → . 1 . . . 2 . . . B3 (|S|=10000) | adulterio → 1 . . . 2 . . . B3 (|S|=26) | fato → . 1 1 B1 (|S|=5) | gato → . 1 1 B1 (|S|=4) | mato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),137
solucionar,10000,100.00,1.994,2,6,jato,solucionar → . Y . . . . . . 1 . (|S|=10000) | amesterdao → 1 . . . 2 . . . . B3 (|S|=43) | fato → . 1 1 B1 (|S|=5) | gato → . 1 1 B1 (|S|=4) | pato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),69
estariamos,10000,100.00,2.015,2,6,sova,estariamos → . 1 . 2 . . . . Y . (|S|=10000) | sofa → B1 1 . B2 (|S|=7) | sopa → B1 1 . B2 (|S|=5) | sonda → B1 1 . . B2 (|S|=4) | soja → B1 1 . B2 (|S|=3) | sova → B1 1 1 B1 (|S|=2) | sova → B1 1 1 B1 (|S|=1),108
desapontar,10000,100.00,2.012,2,6,homo,desapontar → . . . . . 1 . . . . (|S|=10000) | ventriculo → . . . . . . . . . B1 (|S|=89) | jogo → . 1 . B2 (|S|=8) | bobo → . 1 . B2 (|S|=4) | fofo → . 1 . B2 (|S|=3) | homo → B1 1 1 B1 (|S|=2) | homo → B1 1 1 B1 (|S|=1),89
charleston,10000,100.00,1.999,2,6,jato,charleston → . . 1 . . . . 2 2 . (|S|=10000) | astronomia → 1 . 2 . 3 . . . . . (|S|=16) | fato → . 1 1 B1 (|S|=5) | gato → . 1 1 B1 (|S|=4) | pato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),102
analgesico,10000,100.00,2.002,2,5,queixo,analgesico → . . . . . 1 . 2 . B3 (|S|=10000) | amesterdao → . . 1 . . . . . . B2 (|S|=49) | veio → . 1 1 B2 (|S|=6) | beijo → . 1 1 . B2 (|S|=4) | queixo → B1 1 1 1 1 B1 (|S|=2) | queixo → B1 1 1 1 1 B1 (|S|=1),76
estagiario,10000,100.00,2.045,2,7,fiji,estagiario → . . . . . 1 . . 2 . (|S|=10000) | ventriculo → . . . . . 1 . . . . (|S|=19) | xixi → . 1 . B2 (|S|=7) | mimi → . 1 . B2 (|S|=5) | didi → . 1 . B2 (|S|=4) | pipi → . 1 . B2 (|S|=3) | fiji → B1 1 1 B1 (|S|=2) | fiji → B1 1 1 B1 (|S|=1),126
magistrado,10000,100.00,1.970,2,5,sonia,magistrado → . . . Y 1 . . 2 . Y (|S|=10000) | social → B1 1 . 2 2 . (|S|=7) | sofia → B1 1 . 2 B2 (|S|=4) | sophia → B1 1 . . 2 B2 (|S|=3) | sonia → B1 1 1 1 B1 (|S|=2) | sonia → B1 1 1 1 B1 (|S|=1),85
manifestar,10000,100.00,1.995,2,5,ohio,manifestar → . . . 1 . . . . . . (|S|=10000) | solucionar → . 1 . . . 2 2 . . . (|S|=62) | obvio → B1 . . 2 B2 (|S|=5) | odio → B1 . 2 B2 (|S|=3) | ohio → B1 1 1 B1 (|S|=2) | ohio → B1 1 1 B1 (|S|=1),95
