init_guess,trials_run,pct_solved,avg_steps,median_steps,max_steps,hardest_target,hardest_path_compact,worst_bucket_size_initial
eletronico,10000,100.00,2.010,2,6,hara,eletronico → . . . . 1 . . . . . (|S|=10000) | espingarda → . . . . . . 1 1 . B2 (|S|=106) | mercenario → . . . . . . 1 1 . . (|S|=11) | barba → . 1 1 . B2 (|S|=4) | vara → . 1 1 B1 (|S|=3) | hara → B1 1 1 B1 (|S|=2) | hara → B1 1 1 B1 (|S|=1),106
secretaria,10000,100.00,2.065,2,6,bafo,secretaria → . . . . . . 1 . . . (|S|=10000) | analgesico → 1 . . . . . . . . B2 (|S|=81) | quao → . . 1 B2 (|S|=6) | dado → . 1 . B2 (|S|=4) | papo → . 1 . B2 (|S|=3) | bafo → B1 1 1 B1 (|S|=2) | bafo → B1 1 1 B1 (|S|=1),110
ventilacao,10000,100.00,2.001,2,6,fiji,ventilacao → . . . . 1 . . . . . (|S|=10000) | argumentos → . . . . . . . . . . (|S|=33) | xixi → . 1 . B2 (|S|=6) | didi → . 1 . B2 (|S|=4) | pipi → . 1 . B2 (|S|=3) | fiji → B1 1 1 B1 (|S|=2) | fiji → B1 1 1 B1 (|S|=1),106
americanas,10000,100.00,2.029,2,6,quale,americanas → 1 . 2 . . . . . . . (|S|=10000) | cartilagem → . 1 . . . 2 . . 3 . (|S|=26) | vale → . 1 1 B1 (|S|=6) | dale → . 1 1 B1 (|S|=4) | bale → . 1 1 B1 (|S|=3) | quale → B1 1 1 1 B1 (|S|=2) | quale → B1 1 1 1 B1 (|S|=1),94
necessario,10000,100.00,2.088,2,7,fiji,necessario → . . . . . . . . 1 . (|S|=10000) | ventriculo → . . . . . 1 . . . . (|S|=21) | xixi → . 1 . B2 (|S|=7) | mimi → . 1 . B2 (|S|=5) | didi → . 1 . B2 (|S|=4) | pipi → . 1 . B2 (|S|=3) | fiji → B1 1 1 B1 (|S|=2) | fiji → B1 1 1 B1 (|S|=1),119
descontar,10000,100.00,2.067,2,6,jato,descontar → . . . . Y . Y 1 . (|S|=10000) | espartilho → . . . 1 . 2 . . . B3 (|S|=24) | fato → . 1 1 B1 (|S|=7) | gato → . 1 1 B1 (|S|=4) | mato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),123
pastelaria,10000,100.00,2.006,2,6,tabua,pastelaria → . . . 1 . . 2 . . B3 (|S|=10000) | montanha → . . . 1 1 . . B2 (|S|=8) | taxa → B1 1 . B2 (|S|=5) | tava → B1 1 . B2 (|S|=4) | taca → B1 1 . B2 (|S|=3) | tabua → B1 1 1 1 B1 (|S|=2) | tabua → B1 1 1 1 B1 (|S|=1),101
estaleiro,10000,100.00,2.084,2,7,sova,estaleiro → . 1 . 2 . . . . Y (|S|=10000) | sofa → B1 1 . B2 (|S|=8) | sopa → B1 1 . B2 (|S|=7) | sonda → B1 1 . . B2 (|S|=6) | soma → B1 1 . B2 (|S|=4) | soja → B1 1 . B2 (|S|=3) | sova → B1 1 1 B1 (|S|=2) | sova → B1 1 1 B1 (|S|=1),116
poderiamos,10000,100.00,1.974,2,5,hara,poderiamos → . . . . Y . 1 . . . (|S|=10000) | balconista → . 1 . . . . . . . B2 (|S|=120) | garrafa → . 1 1 . . . B2 (|S|=8) | vara → . 1 1 B1 (|S|=3) | hara → B1 1 1 B1 (|S|=2) | hara → B1 1 1 B1 (|S|=1),120
astrologia,10000,100.00,2.016,2,5,puro,astrologia → . . . 1 1 . . . . . (|S|=10000) | mercenario → . . 1 . . . . . . B2 (|S|=33) | juro → . 1 1 B1 (|S|=4) | duro → . 1 1 B1 (|S|=3) | puro → B1 1 1 B1 (|S|=2) | puro → B1 1 1 B1 (|S|=1),80
adversario,10000,100.00,2.017,2,6,fiji,adversario → . . . . . . . . 1 . (|S|=10000) | ventriculo → . . . . . 1 . . . . (|S|=31) | xixi → . 1 . B2 (|S|=6) | mimi → . 1 . B2 (|S|=4) | pipi → . 1 . B2 (|S|=3) | fiji → B1 1 1 B1 (|S|=2) | fiji → B1 1 1 B1 (|S|=1),105
instrucao,10000,100.00,2.060,2,6,jato,instrucao → . . . Y . . . 1 B2 (|S|=10000) | paramedico → . 1 . . . . . . . B2 (|S|=17) | alto → 1 . 2 B2 (|S|=5) | fato → . 1 1 B1 (|S|=4) | gato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),123
escuridao,10000,100.00,2.046,2,6,vala,escuridao → . . . . . . . 1 . (|S|=10000) | contemplar → . . . . . . . 1 1 . (|S|=77) | fala → . 1 1 B1 (|S|=5) | bala → . 1 1 B1 (|S|=4) | gala → . 1 1 B1 (|S|=3) | vala → B1 1 1 B1 (|S|=2) | vala → B1 1 1 B1 (|S|=1),90
penetracao,10000,100.00,2.066,2,6,sova,penetracao → . . . . . . Y . . 1 (|S|=10000) | astrologia → . 1 . . 2 . . . . B3 (|S|=52) | sofa → B1 1 . B2 (|S|=5) | soma → B1 1 . B2 (|S|=4) | soja → B1 1 . B2 (|S|=3) | sova → B1 1 1 B1 (|S|=2) | sova → B1 1 1 B1 (|S|=1),99
descoberta,10000,100.00,2.027,2,6,sova,descoberta → . . 1 . 2 . . . . B3 (|S|=10000) | entusiasmo → . . . . 1 . 2 . . Y (|S|=16) | sofa → B1 1 . B2 (|S|=5) | sopa → B1 1 . B2 (|S|=4) | soja → B1 1 . B2 (|S|=3) | sova → B1 1 1 B1 (|S|=2) | sova → B1 1 1 B1 (|S|=1),112
espingarda,10000,100.00,1.986,2,6,hara,espingarda → . . . . . . 1 1 . B2 (|S|=10000) | crematorio → . . . . 1 . . 2 . . (|S|=36) | barba → . 1 1 . B2 (|S|=6) | vara → . 1 1 B1 (|S|=5) | lara → . 1 1 B1 (|S|=3) | hara → B1 1 1 B1 (|S|=2) | hara → B1 1 1 B1 (|S|=1),80
entusiasmo,10000,100.00,2.015,2,6,fiji,entusiasmo → . . . . . 1 . . . . (|S|=10000) | ventriculo → . . . . . 1 . . . . (|S|=19) | xixi → . 1 . B2 (|S|=6) | didi → . 1 . B2 (|S|=4) | pipi → . 1 . B2 (|S|=3) | fiji → B1 1 1 B1 (|S|=2) | fiji → B1 1 1 B1 (|S|=1),132
residencia,10000,100.00,2.031,2,6,jato,residencia → . . . . . . . . . 1 (|S|=10000) | tripulacao → Y . . . . . 1 . . B2 (|S|=91) | fato → . 1 1 B1 (|S|=6) | gato → . 1 1 B1 (|S|=4) | mato → . 1 1 B1 (|S|=3) | jato → B1 1 1 B1 (|S|=2) | jato → B1 1 1 B1 (|S|=1),148
transicao,10000,100.00,2.113,2,6,hara,transicao → . 1 1 . . . . Y . (|S|=10000) | espingarda → . . . . . . 1 1 . B2 (|S|=40) | adversario → Y . . . . . 1 1 . . (|S|=9) | lara → . 1 1 B1 (|S|=4) | mara → . 1 1 B1 (|S|=3) | hara → B1 1 1 B1 (|S|=2) | hara → B1 1 1 B1 (|S|=1),74
impotencia,10000,100.00,2.006,2,6,quale,impotencia → . . . . . Y . . . 1 (|S|=10000) | alessandro → 1 1 1 . . . . . . . (|S|=79) | vale → . 1 1 B1 (|S|=5) | bale → . 1 1 B1 (|S|=4) | gale → . 1 1 B1 (|S|=3) | quale → B1 1 1 1 B1 (|S|=2) | quale → B1 1 1 1 B1 (|S|=1),112
restricao,10000,100.00,2.122,2,6,pila,restricao → . . . . . 1 . 2 . (|S|=10000) | relutancia → . . Y . . . . . 1 B2 (|S|=73) | ilha → 1 1 . B2 (|S|=7) | fila → . 1 1 B1 (|S|=4) | vila → . 1 1 B1 (|S|=3) | pila → B1 1 1 B1 (|S|=2) | pila → B1 1 1 B1 (|S|=1),116
antecessor,10000,100.00,2.075,2,7,fiji,antecessor → . . . . . . . . . . (|S|=10000) | ventriculo → . . . . . 1 . . . . (|S|=21) | xixi → . 1 . B2 (|S|=7) | mimi → . 1 . B2 (|S|=5) | didi → . 1 . B2 (|S|=4) | pipi → . 1 . B2 (|S|=3) | fiji → B1 1 1 B1 (|S|=2) | fiji → B1 1 1 B1 (|S|=1),133
alessandro,10000,100.00,2.042,2,6,fiji,alessandro → . . . . . . . . . . (|S|=10000) | ventriculo → . . . . . 1 . . . . (|S|=16) | xixi → . 1 . B2 (|S|=6) | mimi → . 1 . B2 (|S|=4) | pipi → . 1 . B2 (|S|=3) | fiji → B1 1 1 B1 (|S|=2) | fiji → B1 1 1 B1 (|S|=1),80
austriaco,10000,100.00,2.069,2,6,vala,austriaco → 1 . . . . . 2 . . (|S|=10000) | contemplar → . . . . . . . 1 1 . (|S|=81) | fala → . 1 1 B1 (|S|=6) | bala → . 1 1 B1 (|S|=4) | gala → . 1 1 B1 (|S|=3) | vala → B1 1 1 B1 (|S|=2) | vala → B1 1 1 B1 (|S|=1),81
construido,10000,100.00,1.996,2,6,mando,construido → . . 1 . . . . . 2 B2 (|S|=10000) | vendo → . . 1 1 B1 (|S|=8) | dando → . 1 1 1 B1 (|S|=5) | bando → . 1 1 1 B1 (|S|=4) | ando → 1 1 1 B1 (|S|=3) | mando → B1 1 1 1 B1 (|S|=2) | mando → B1 1 1 1 B1 (|S|=1),166
