bucket_key,count
". Y . . 1 . 2 . . .",5
"Y . . . . Y Y . . 1",5
"Y . . 1 . 2 3 . . Y",5
"1 1 1 . . 2 3 . . .",5
"Y 1 . . . 2 . . . .",5
"1 . . . . . 2 . . B3",4
"Y . . . . Y . 1 . .",4
"B1 1 . 2 . . . . . Y",4
". Y . 1 . 2 . . . .",4
"Y Y . 1 . . . . . .",4
". . . Y . . Y . Y 1",4
"Y . Y . . . 1 . . 2",4
". Y Y . . 1 2 Y . .",4
". Y . . . Y Y 1 . .",4
". . Y . 1 . 2 2 3 B3",4
". . . . . Y Y . 1 1",4
"Y 1 2 . . . . Y . .",4
"B1 . . . . 2 . . . .",4
". . . . . Y . . . 1",4
". 1 . . . 2 . 3 3 .",4
"Y . . . Y 1 . . 2 .",4
". 1 . 2 . . . . 3 B3",4
"Y . Y . . . 1 1 2 .",4
". . . . . . Y 1 2 Y",4
"Y . Y 1 1 1 . 2 . .",4
". 1 . . . . 2 2 . .",4
". . 1 1 . . . . . .",4
". . . . Y . Y . 1 1",4
"1 . 2 . . . . . . B3",4
". . . . . 1 1 . . Y",4
"Y . . . 1 . . Y 2 2",4
"Y 1 2 . . Y 3 . . .",4
"1 . . 2 . . . . 3 B3",4
"Y . . . . 1 2 . . .",4
". 1 . . . 2 . . . B3",4
". Y . . 1 . Y . 2 2",4
"Y Y . . . 1 2 . . Y",4
". . 1 1 . . 2 Y Y .",4
"Y . . Y 1 2 . . 3 .",4
". Y . 1 1 . 2 . Y .",4
"1 . . . 2 Y . . 3 B3",4
"B1 1 . . 2 . 3 . . Y",4
". . . . 1 1 . . 2 Y",4
"B1 1 1 1 . . 2 . . .",4
". . Y 1 1 . 2 . . .",4
"Y 1 . . . . . . . 2",4
"1 . 2 . . . 3 Y . .",4
". 1 . 2 2 . 3 . Y .",4
"1 1 . . 2 . . . . B3",4
"Y . Y 1 . . 2 . . Y",4
"Y . Y 1 . 2 . . 3 Y",4
". . . Y Y 1 . 2 3 .",4
". . . . . 1 . 2 . B3",4
"B1 . 2 . . Y 3 . . .",4
". . . Y . Y Y . 1 1",4
"1 1 1 . . . 2 Y . .",4
